OBJECTID,NAZOB,ICO,POCET_OBYVATEL_260311
276,Studeněves,48706213,462
277,Svárov,00875481,488
278,Svinařov,00234966,701
279,Šlapanice,00234974,201
280,Třebichovice,00235016,552
281,Třebíz,00235024,202
282,Třebusice,00235032,496
283,Tuchlovice,00235041,2363
284,Tuřany,00234222,552
285,Uhy,00235067,381
286,Unhošť,00235075,4031
287,Velká Dobrá,00235083,1654
288,Velké Přítočno,00235091,924
289,Velvary,00235105,2971
290,Vinařice,00235113,1975
291,Vraný,00235121,763
292,Vrbičany,00640476,225
293,Zájezd,00640531,116
294,Zákolany,00235156,532
295,Zichovec,00640468,116
296,Zlonice,00235172,2236
297,Zvoleněves,00235181,844
298,Želenice,00875520,186
299,Žilina,00235202,818
300,Žižice,00235211,618
301,Barchovice,00235237,200
302,Bečváry,00235245,1020
303,Bělušice,00235253,259
304,Břežany I,00235270,318
305,Břežany II,00235288,645
306,Býchory,00235296,603
307,Cerhenice,00235300,1616
308,Církvice,00876208,164
309,Červené Pečky,00235326,1723
310,Český Brod,00235334,6914
311,Dobřichov,00235342,762
312,Dolní Chvatliny,00235351,449
313,Dománovice,00473707,122
314,Doubravčice,00235369,501
315,Drahobudice,00665096,240
316,Grunta,00876224,102
317,Horní Kruty,00235385,525
318,Hradešín,00665100,318
319,Choťovice,00640646,207
320,Chotutice,00235393,515
321,Chrášťany,00235407,688
322,Jestřabí Lhota,00235415,437
323,Kbel,00665118,209
324,Klášterní Skalice,00665126,133
325,Klučov,00235431,897
326,Kolín,00235440,31207
327,Konárovice,00235458,777
328,Kořenice,00235466,592
329,Kouřim,00235482,1851
330,Krakovany,00235504,779
331,Krupá,00235512,371
332,Krychnov,00876232,102
333,Křečhoř,00235521,429
334,Kšely,00665142,229
335,Libenice,00235539,302
336,Libodřice,00235547,300
337,Lipec,00473715,202
338,Lošany,00235555,339
339,Malotice,00235563,276
340,Masojedy,00665151,95
341,Mrzky,00473723,145
342,Nebovidy,00235571,662
343,Němčice,00665169,312
344,Nová Ves I,00235580,1256
345,Ohaře,00235601,294
346,Ovčáry,00235628,828
347,Pašinka,00639711,337
348,Pečky,00239607,4472
349,Plaňany,00235636,1763
350,Pňov-Předhradí,00239631,525
351,Polepy,00235644,614
352,Polní Chrčice,00473731,150
353,Polní Voděrady,00473740,163
354,Poříčany,00239666,1422
355,Přehvozdí,00473758,249
356,Přistoupim,00473766,436
357,Přišimasy,00235652,710
358,Radim,00235661,1124
359,Radovesnice I,00639737,332
360,Radovesnice II,00235687,444
361,Ratboř,00235695,544
362,Ratenice,00239704,569
363,Rostoklaty,00235709,464
364,Skvrňov,00235733,181
365,Starý Kolín,00235741,1607
366,Svojšice,00235768,594
367,Tatce,00239844,595
368,Tismice,00235776,482
369,Toušice,00235784,334
370,Třebovle,00235792,450
371,Tři Dvory,00235806,903
372,Tuchoraz,00235814,423
373,Tuklaty,00235822,791
374,Týnec nad Labem,00235831,2011
375,Uhlířská Lhota,00235849,366
376,Veletov,00235857,245
377,Velim,00235865,2148
378,Velký Osek,00235873,2217
379,Veltruby,00235881,1327
380,Vitice,00235890,1040
381,Volárna,00235911,499
382,Vrátkov,00639753,251
383,Vrbčany,00235920,344
384,Zalešany,00473774,109
385,Zásmuky,00235954,1815
386,Žabonosy,00473782,224
387,Ždánice,00473791,338
388,Žehuň,00239992,431
389,Žiželice,00235962,1625
390,Adamov,00639664,106
391,Bernardov,00640301,179
392,Bílé Podolí,00235997,625
393,Bludov,00640280,27
394,Bohdaneč,00236004,436
395,Brambory,00640310,110
396,Bratčice,00640212,398
397,Církvice,00236012,1204
398,Čáslav,00236021,10100
399,Čejkovice,00498602,35
400,Černíny,00236039,383
401,Červené Janovice,00236047,702
402,Čestín,00236055,421
403,Dobrovítov,00498599,118
404,Dolní Pohleď,00640328,88
405,Drobovice,00640204,390
406,Hlízov,00640336,517
407,Horka I,00640344,387
408,Horka II,00236071,389
409,Horky,00640191,388
410,Horušice,00640352,196
411,Hostovlice,00236080,248
412,Hraběšín,00640069,112
413,Chabeřice,00236101,242
414,Chlístovice,00236110,741
415,Chotusice,00236128,717
416,Kácov,00236144,787
417,Kluky,00236152,449
418,Kobylnice,00640361,202
419,Košice,49540858,47
420,Krchleby,00236179,404
421,Křesetice,00236187,681
422,Kutná Hora,00236195,20839
423,Ledečko,00236209,174
424,Malešov,00236217,944
425,Miskovice,00236233,952
426,Močovice,00640077,363
427,Nepoměřice,00236250,217
428,Nové Dvory,00236276,844
429,Okřesaneč,00236284,186
430,Onomyšl,00236306,290
431,Opatovice I,00640379,118
432,Paběnice,00640387,167
433,Pertoltice,00236331,138
434,Petrovice I,00236349,301
435,Petrovice II,00236357,106
436,Podveky,00498572,211
437,Potěhy,00236365,606
438,Rašovice,00236373,382
439,Rataje nad Sázavou,00236381,525
440,Rohozec,00498611,275
441,Řendějov,00236390,254
442,Samopše,00236403,132
443,Semtěš,00640395,265
444,Schořov,00639681,66
445,Slavošov,00236420,145
446,Soběšín,00498581,150
447,Souňov,00640093,130
448,Staňkovice,00236446,261
449,Starkoč,00640417,111
450,Sudějov,00640271,65
451,Suchdol,00236462,1138
452,Svatý Mikuláš,00236225,796
453,Šebestěnice,00640051,92
454,Štipoklasy,00640409,148
455,Třebešice,00640298,256
456,Třebětín,00640247,112
457,Třebonín,00640107,135
458,Tupadly,00236519,613
459,Uhlířské Janovice,00236527,3077
460,Úmonín,00236535,476
461,Úžice,00236543,633
462,Vavřinec,00236551,480
463,Vidice,00236560,236
464,Vinaře,00236578,261
465,Vlačice,00236586,276
466,Vlastějovice,00236594,481
467,Vlkaneč,00236608,587
468,Vodranty,00640085,76
469,Vrdy,00236616,2954
470,Záboří nad Labem,00236624,845
471,Zbizuby,00236632,465
472,Zbraslavice,00236641,1406
473,Zbýšov,00236659,649
474,Zruč nad Sázavou,00236667,4882
475,Žáky,00236675,334
476,Žehušice,00236683,652
477,Žleby,00236691,1289
478,Býkev,00236748,385
479,Byšice,00236756,1316
480,Cítov,00236764,1220
481,Čakovičky,00640115,523
482,Čečelice,00236772,622
483,Dobřeň,00662186,174
484,Dolany,00241199,824
485,Dolní Beřkovice,00236799,1468
486,Dolní Zimoř,00662305,73
487,Dřínov,00236802,432
488,Horní Počaply,00236829,1513
489,Hořín,00236837,750
490,Hostín,00510556,269
491,Hostín u Vojkovic,00662291,295
492,Chlumín,00236853,474
493,Chorušice,00236861,524
494,Chvatěruby,00236870,476
495,Jeviněves,00662267,199
496,Kadlín,00662224,138
497,Kanina,00662232,63
498,Kly,00236918,1267
499,Kojetice,00240320,737
500,Kokořín,00236926,359
501,Kostelec nad Labem,00236951,3513
502,Kozomín,00662283,398
503,Kralupy nad Vltavou,00236977,18453
504,Ledčice,00236993,596
505,Lhotka,00662275,282
506,Liběchov,00237019,1038
507,Libiš,00662241,2049
508,Liblice,00510548,486
509,Lobeč,00662194,142
510,Lužec nad Vltavou,00237035,1419
511,Malý Újezd,00237043,964
512,Medonosy,00498513,137
513,Mělnické Vtelno,00237060,968
514,Mělník,00237051,19612
515,Mšeno,00237078,1493
516,Nebužely,00237086,440
517,Nedomice,00662259,301
518,Nelahozeves,00237094,1749
519,Neratovice,00237108,16622
520,Nosálov,00662208,158
521,Nová Ves,00237132,1166
522,Obříství,00237141,1221
523,Olovnice,00234737,512
524,Ovčáry,00237159,454
525,Postřižín,00240621,739
526,Řepín,00237175,661
527,Spomyšl,00237191,447
528,Stránka,00662216,203
529,Střemy,00237213,409
530,Tišice,00237221,1928
531,Tuhaň,00662178,641
532,Tupadly,00498521,129
533,Újezdec,00875830,106
534,Úžice,00237256,907
535,Velký Borek,00237264,973
536,Veltrusy,00237272,1927
537,Vidim,00662313,162
538,Vojkovice,00237299,886
539,Vraňany,00237302,895
540,Všestudy,00237311,330
541,Všetaty,00237329,2193
542,Vysoká,00237337,839
543,Zálezlice,00237353,377
544,Zlončice,00510572,516
545,Zlosyň,00237388,463
546,Želízy,00237396,506
547,Bakov nad Jizerou,00237418,5026
548,Bělá pod Bezdězem,00237434,4979
549,Benátky nad Jizerou,00237442,7387
550,Bezno,00237469,885
551,Bílá Hlína,00509108,114
552,Bítouchov,00237477,325
553,Boreč,00237493,287
554,Boseň,00509191,450
555,Bradlec,00508888,1158
556,Branžež,00509205,214
557,Brodce,00237540,1046
558,Březina,00509329,385
559,Březno,00237574,918
560,Březovice,42717205,324
561,Bukovno,00237591,695
562,Ctiměřice,00509361,126
563,Čachovice,00237612,878
564,Čistá,00237621,718
565,Dalovice,00508896,207
566,Dlouhá Lhota,00508942,393
567,Dobrovice,00237663,3282
568,Dobšín,00509299,218
569,Dolní Bousov,00237680,2580
570,Dolní Krupá,00237698,222
571,Dolní Slivno,00237701,311
572,Dolní Stakory,00509337,250
573,Domousnice,00237728,268
574,Doubravička,00509388,126
575,Horky nad Jizerou,00237795,494
576,Horní Bukovina,00237817,233
577,Horní Slivno,00876267,222
578,Hrdlořezy,00237841,716
579,Hrušov,00509094,221
580,Husí Lhota,00876241,155
581,Charvatce,00509116,219
582,Chocnějovice,00237906,409
583,Chotětov,00237914,840
584,Chudíř,00509124,175
585,Jabkenice,00237949,365
586,Jivina,00237957,457
587,Jizerní Vtelno,00509248,340
588,Josefův Důl,48679861,459
589,Katusice,00237981,786
590,Klášter Hradiště nad Jizerou,00238007,863
591,Kluky,00509400,76
592,Kněžmost,00238023,1840
593,Kobylnice,00509469,129
594,Kochánky,00238040,418
595,Kolomuty,00509345,274
596,Koryta,42716870,90
597,Kosmonosy,00508870,5033
598,Kosořice,00238104,431
599,Košátky,00509256,182
600,Kováň,00509221,155
601,Kovanec,00509396,126
602,Krásná Ves,00238147,205
603,Krnsko,00238155,559
604,Kropáčova Vrutice,00238163,888
605,Ledce,00238180,339
606,Lhotky,00508977,149
607,Lipník,00508993,303
608,Loukov,00509281,158
609,Loukovec,00238244,267
610,Luštěnice,00238252,2128
611,Mečeříž,00509043,451
612,Mladá Boleslav,00238295,44778
613,Mnichovo Hradiště,00238309,8355
614,Mohelnice nad Jizerou,00509141,87
615,Mukařov,00509132,170
616,Němčice,00238317,172
617,Nemyslovice,00509451,146
618,Nepřevázka,00238333,409
619,Neveklovice,00509167,56
620,Niměřice,00509426,298
621,Nová Telib,00508951,223
622,Nová Ves u Bakova,00508918,258
623,Obrubce,00509302,192
624,Obruby,00238384,236
625,Pěčice,00509370,163
626,Pětikozly,00509442,61
627,Petkovy,00238414,285
628,Písková Lhota,00509230,695
629,Plazy,00238431,510
630,Plužná,00509019,238
631,Prodašice,00509272,92
632,Předměřice nad Jizerou,00238473,706
633,Přepeře,00509311,139
634,Ptýrov,00509183,216
635,Rabakov,00509078,56
636,Rohatsko,00509035,219
637,Rokytá,48679836,228
638,Rokytovec,00509434,154
639,Řepov,00238562,713
640,Řitonice,00509051,91
641,Sedlec,48679763,214
642,Semčice,00238597,680
643,Sezemice,00876259,113
644,Skalsko,00238619,384
645,Skorkov,70541981,521
646,Smilovice,00238635,630
647,Sojovice,70565295,499
648,Sovínky,00508934,295
649,Strašnov,00238678,260
650,Strážiště,00509159,96
651,Strenice,00238686,174
652,Sudoměř,00509175,86
653,Sukorady,00508969,349
654,Tuřice,00509353,286
655,Ujkovice,00509264,99
656,Velké Všelisy,00238821,362
657,Veselice,00509060,125
658,Vinařice,00509027,272
659,Vinec,00508900,293
660,Vlkava,00509001,415
661,Vrátno,00509418,131
662,Všejany,00238902,620
663,Zdětín,00508926,500
664,Žďár,00238945,1256
665,Žerčice,00238953,373
666,Židněves,00508985,325
667,Běrunice,00238988,870
668,Bobnice,00238996,863
669,Bříství,00239003,373
670,Budiměřice,00239011,621
671,Černíky,00640620,117
672,Čilec,00875961,216
673,Činěves,00239046,498
674,Dlouhopolsko,00239054,215
675,Dobšice,00239062,208
676,Dvory,00239071,557
677,Dymokury,00239089,871
678,Hořany,00640611,134
679,Hořátev,00239119,739
680,Hradčany,00239127,249
681,Hradištko,00239135,527
682,Hrubý Jeseník,00876054,542
683,Chleby,00876071,424
684,Choťánky,00239178,407
685,Chotěšice,00239186,325
686,Chrást,00239194,519
687,Chroustov,00640654,210
688,Jíkev,00239216,322
689,Jiřice,00876089,198
690,Jizbice,00239224,317
691,Kamenné Zboží,00239232,566
692,Kněžice,00239241,500
693,Kněžičky,49534904,174
694,Kolaje,00239259,86
695,Kostelní Lhota,00239267,813
696,Kostomlátky,48931250,280
697,Kostomlaty nad Labem,00239283,1757
698,Košík,00239291,364
699,Kounice,00239305,1185
700,Kouty,00640662,289
701,Kovanice,00239321,822
702,Krchleby,00239348,770
703,Křečkov,00239356,357
704,Křinec,00239364,1349
705,Libice nad Cidlinou,00239381,1328
706,Loučeň,00239399,1253
707,Lysá nad Labem,00239402,8775
708,Mcely,00239411,385
709,Městec Králové,00239437,2908
710,Milčice,00239445,312
711,Milovice,00239453,9607
712,Netřebice,00640581,195
713,Nový Dvůr,00876097,71
714,Nymburk,00239500,14782
715,Odřepsy,00239518,324
716,Okřínek,00239526,155
717,Opočnice,00239534,456
718,Opolany,00239542,872
719,Oseček,00876046,139
720,Oskořínek,00239577,543
721,Ostrá,00239585,499
722,Pátek,00239593,592
723,Písková Lhota,00239615,428
724,Písty,00239623,396
725,Poděbrady,00239640,14005
726,Podmoky,00876003,184
727,Přerov nad Labem,00239682,1148
728,Rožďalovice,00239712,1613
729,Sadská,00239721,3266
730,Sány,00239739,473
731,Seletice,00640638,194
732,Semice,00239747,1053
733,Senice,00876038,190
734,Sloveč,00239763,542
735,Sokoleč,00239771,914
736,Stará Lysá,00239798,610
737,Starý Vestec,00640590,179
738,Straky,00239810,550
739,Stratov,00239828,493
740,Třebestovice,00239852,889
741,Úmyslovice,00239861,308
742,Velenice,00640603,219
743,Velenka,00640697,280
744,Vestec,00239909,312
745,Vlkov pod Oškobrhem,00239917,105
746,Vrbice,00876127,173
747,Vrbová Lhota,00239933,431
748,Všechlapy,00239941,671
749,Vykáň,00239950,380
750,Záhornice,00640671,404
751,Zbožíčko,00875953,205
752,Zvěřínek,00640689,254
753,Žitovlice,00240001,171
754,Babice,00240028,765
755,Bašť,00240036,1563
756,Borek,00236713,274
757,Bořanovice,00240061,702
758,Brandýs nad Labem-Stará Boleslav,00240079,17683
759,Brázdim,00240087,660
760,Březí,00640123,442
761,Čelákovice,00240117,11638
762,Černé Voděrady,00235318,316
763,Čestlice,00240125,565
764,Dobročovice,00662399,245
765,Dobřejovice,00240141,942
766,Doubek,00640255,233
767,Dřevčice,00240176,695
768,Dřísy,00236811,886
769,Herink,00640140,367
770,Hlavenec,00474177,369
771,Horoušany,00240206,903
772,Hovorčovice,00240214,2115
773,Hrusice,00240222,642
774,Husinec,00240231,1314
775,Jenštejn,00240249,890
776,Jevany,00235423,610
777,Jirny,00240257,2315
778,Kaliště,00240265,216
779,Kamenice,00240273,3995
780,Káraný,00510530,647
781,Klecany,00240290,2906
782,Klíčany,00240303,383
783,Klokočná,00472034,226
784,Konětopy,00510564,291
785,Konojedy,00665134,234
786,Kostelec nad Černými Lesy,00235474,3604
787,Kostelec u Křížků,00240354,583
788,Kostelní Hlavno,00238112,476
789,Kozojedy,00235491,663
790,Křenek,00236985,243
791,Křenice,00640182,515
792,Křížkový Újezdec,00240397,198
793,Kunice,00240401,1133
794,Květnice,00640042,1221
795,Lázně Toušeň,00240893,1269
796,Lhota,00237001,433
797,Líbeznice,00240427,2117
798,Louňovice,00240435,887
799,Máslovice,00240443,310
800,Měšice,00240451,1629
801,Mirošovice,00240460,1110
802,Mnichovice,00240478,3094
803,Modletice,00640158,575
804,Mochov,00240486,1299
805,Mratín,00240494,1211
806,Mukařov,00240508,2046
807,Nehvizdy,00240524,2037
808,Nová Ves,00240532,560
809,Nový Vestec,00240541,377
810,Nučice,00235598,354
811,Nupaky,00640816,884
812,Odolena Voda,00240559,5582
813,Oleška,00235610,898
814,Ondřejov,00240567,1327
815,Oplany,00639702,79
816,Panenské Břežany,00240583,574
817,Pětihosty,00876291,204
818,Petříkov,00240591,456
819,Podolanka,00240605,537
820,Polerady,00240613,222
821,Popovičky,00640131,324
822,Prusice,00639729,71
823,Předboj,00240630,633
824,Přezletice,00240656,1090
825,Radějovice,00240672,316
826,Radonice,00240681,736
827,Říčany,00240702,13637
828,Sedlec,00640239,247
829,Senohraby,00240737,1095
830,Sibřina,00240745,672
831,Sluhy,00240753,684
832,Sluštice,00240761,329
833,Strančice,00240788,1993
834,Struhařov,00240800,685
835,Stříbrná Skalice,00235750,1196
836,Sudovo Hlavno,00509213,462
837,Sulice,00240818,1418
838,Svémyslice,00639672,286
839,Světice,00240826,1065
840,Svojetice,00240834,722
841,Šestajovice,00240851,2934
842,Škvorec,00240869,1370
843,Štíhlice,00639745,138
844,Tehov,00240877,727
845,Tehovec,43750648,456
846,Úvaly,00240931,6018
847,Veleň,00240940,917
848,Veliká Ves,43750486,285
849,Velké Popovice,00240966,2554
850,Větrušice,00240974,489
851,Vlkančice,00235903,142
852,Vodochody,00240991,541
853,Všestary,00241016,709
854,Vyšehořovice,00241024,585
855,Výžerky,00639761,132
856,Vyžlovka,00235938,645
857,Zápy,00472051,841
858,Záryby,00237361,875
859,Zdiby,00241032,2664
860,Zeleneč,00241041,2877
861,Zlatá,00472131,188
862,Zlonín,00241067,341
863,Zvánovice,00241075,466
864,Bojanovice,00241091,421
865,Bratřínov,00639699,167
866,Březová-Oleško,44684983,818
867,Buš,00242021,315
868,Černolice,00241113,326
869,Černošice,00241121,6379
870,Červený Újezd,00234265,1042
871,Číčovice,00241130,272
872,Čisovice,00241148,954
873,Davle,00241156,1378
874,Dobrovíz,00241164,481
875,Dobříč,00241172,296
876,Dobřichovice,00241181,3326
877,Dolní Břežany,00241202,3334
878,Drahelčice,00233200,521
879,Holubice,00241211,1560
880,Horoměřice,00241229,3441
881,Hostivice,00241237,7399
882,Hradištko,00241245,1753
883,Hvozdnice,00241253,424
884,Choteč,00241270,369
885,Chrášťany,00241288,828
886,Chýně,00241296,1825
887,Chýnice,00473227,351
888,Jeneč,00241300,1216
889,Jesenice,00241318,6798
890,Jílové u Prahy,00241326,4256
891,Jíloviště,00241334,650
892,Jinočany,00241342,1317
893,Kamenný Přívoz,00241351,1269
894,Karlík,44684967,457
895,Klínec,00640719,559
896,Kněževes,00241377,542
897,Kosoř,00241385,902
898,Kytín,00640794,451
899,Lety,00241393,1325
900,Libčice nad Vltavou,00241407,3282
901,Libeř,00241415,1190
902,Lichoceves,00640735,346
903,Líšnice,00241440,574
904,Měchenice,00241482,749
905,Mníšek pod Brdy,00242748,4547
906,Nučice,00233668,1785
907,Ohrobec,00241491,1043
908,Okoř,00640751,89
909,Okrouhlo,00241504,624
910,Ořech,00241512,917
911,Petrov,00241539,543
912,Pohoří,00241555,321
913,Průhonice,00241563,2680
914,Psáry,00241580,3372
915,Ptice,00234842,638
916,Roblín,00640760,221
917,Roztoky,00241610,7767
918,Rudná,00233773,4670
919,Řevnice,00241636,3141
920,Řitka,00241644,987
921,Slapy,00241652,805
922,Statenice,00241679,1281
923,Středokluky,00241695,1006
924,Svrkyně,00640743,291
925,Štěchovice,00241725,1705
926,Tachlovice,00233871,832
927,Trnová,00640701,297
928,Třebotov,00241741,1304
929,Tuchoměřice,00241750,1363
930,Tursko,00241768,727
931,Úholičky,00640727,730
932,Úhonice,00235059,979
933,Únětice,00241792,652
934,Velké Přílepy,00241806,2934
935,Vestec,00507644,2158
936,Vonoklasy,00241822,502
937,Vrané nad Vltavou,00241831,2339
938,Všenory,00241849,1534
939,Zahořany,00640778,247
940,Zbuzany,00640221,1022
941,Zlatníky-Hodkovice,00241873,1207
942,Zvole,00241890,1636
943,Bezděkov pod Třemšínem,00498629,156
944,Bohostice,00662763,199
945,Bohutín,00241946,1680
946,Borotice,00241962,334
947,Bratkovice,00241971,313
