OBJECTID,NAZOB,ICO,POCET_OBYVATEL_260311
1,Praha,00064581,1272690
2,Benešov,00231401,16484
3,Bernartice,00473359,214
4,Bílkovice,00232807,189
5,Blažejovice,00473456,101
6,Borovnice,00473430,77
7,Bukovany,00508381,737
8,Bystřice,00231525,4256
9,Ctiboř,00473511,116
10,Čakov,00231541,118
11,Čechtice,00231550,1414
12,Čerčany,00231584,2725
13,Červený Újezd,00231606,319
14,Český Šternberk,00231614,144
15,Čtyřkoly,00508519,568
16,Děkanovice,00473502,64
17,Divišov,00231690,1555
18,Dolní Kralovice,00231711,928
19,Drahňovice,00508446,66
20,Dunice,00473499,62
21,Heřmaničky,00231771,699
22,Hradiště,00508535,30
23,Hulice,00231801,295
24,Hvězdonice,00231819,312
25,Chářovice,00508390,183
26,Chleby,00508403,57
27,Chlístov,00508373,338
28,Chlum,00473529,135
29,Chmelná,00473537,127
30,Chocerady,00231860,1188
31,Choratice,00473405,77
32,Chotýšany,00231886,487
33,Chrášťany,00508357,223
34,Jankov,00231916,915
35,Javorník,00473545,126
36,Ješetice,00473472,130
37,Kamberk,00233081,162
38,Keblov,00231975,181
39,Kladruby,00508454,219
40,Kondrac,00232009,479
41,Kozmice,00232017,270
42,Krhanice,00232025,922
43,Krňany,00232041,380
44,Křečovice,00232068,726
45,Křivsoudov,00232076,423
46,Kuňovice,00473553,90
47,Lešany,00232122,668
48,Libež,00232131,162
49,Litichovice,00473367,56
50,Loket,00232165,557
51,Louňovice pod Blaníkem,00232173,664
52,Lštění,00508527,382
53,Maršovice,00232181,721
54,Mezno,00232220,352
55,Miličín,00232238,860
56,Miřetice,00232246,152
57,Mnichovice,00232262,194
58,Mrač,00232271,767
59,Načeradec,00232289,1017
60,Nespeky,00232335,610
61,Netvořice,00232360,1079
62,Neustupov,00232378,530
63,Neveklov,00232386,2501
64,Olbramovice,00232416,1202
65,Ostrov,00875775,57
66,Ostředek,00232424,359
67,Pavlovice,00508471,210
68,Petroupim,00232475,306
69,Popovice,00508411,292
70,Poříčí nad Sázavou,00232513,1173
71,Postupice,00232521,1171
72,Pravonín,00232548,558
73,Přestavlky u Čerčan,00232564,335
74,Psáře,00508489,129
75,Pyšely,00240664,1659
76,Rabyně,00232599,249
77,Radošovice,00232602,324
78,Rataje,00232611,181
79,Ratměřice,00473481,274
80,Řehenice,00240699,378
81,Řimovice,00508497,205
82,Sázava,00236411,3766
83,Slověnice,00473391,39
84,Smilkov,00232688,249
85,Snět,00473448,99
86,Soběhrdy,00232700,361
87,Soutice,00875813,267
88,Stranný,00875805,113
89,Strojetice,00875791,132
90,Struhařov,00232751,756
91,Střezimíř,00232777,302
92,Studený,00232785,102
93,Šetějovice,00473464,69
94,Tehov,00508501,357
95,Teplýšovice,00232823,435
96,Tichonice,00232831,196
97,Tisem,00508420,222
98,Tomice,00508349,136
99,Trhový Štěpánov,00232874,1350
100,Třebešice,00473375,85
101,Týnec nad Sázavou,00232904,5561
102,Václavice,00508365,524
103,Veliš,00232921,343
104,Vlašim,00232947,11923
105,Vodslivy,00473413,99
106,Vojkov,00232955,510
107,Votice,00232963,4579
108,Vracovice,00232971,365
109,Vranov,00232980,362
110,Vrchotovy Janovice,00233005,949
111,Všechlapy,00473383,86
112,Vysoký Újezd,00508543,202
113,Xaverov,00473421,61
114,Zdislavice,00233072,547
115,Zvěstov,00233099,365
116,Bavoryně,00509612,215
117,Beroun,00233129,18741
118,Běštín,00509621,300
119,Broumy,00233145,852
120,Březová,00233153,277
121,Bubovice,00233161,384
122,Bykoš,00509639,216
123,Bzová,00233188,435
124,Cerhovice,00233196,1068
125,Drozdov,00233218,705
126,Felbabka,00233226,260
127,Hlásná Třebaň,00233234,802
128,Hořovice,00233242,6841
129,Hostomice,00233269,1653
130,Hředle,00233277,368
131,Hudlice,00233285,1235
132,Hvozdec,00233293,256
133,Hýskov,00233307,1592
134,Chaloupky,00233315,479
135,Chlustina,00509647,229
136,Chodouň,00509655,618
137,Chrustenice,00509663,826
138,Chyňava,00233358,1711
139,Jivina,00233366,192
140,Karlštejn,00233374,784
141,Komárov,00233382,2470
142,Koněprusy,00233391,221
143,Korno,00509671,92
144,Kotopeky,00509698,296
145,Králův Dvůr,00509701,6916
146,Kublov,00233439,619
147,Lážovice,00509710,93
148,Lhotka,00509728,324
149,Libomyšl,00233498,522
150,Liteň,00233501,1062
151,Loděnice,00233510,1687
152,Lochovice,00233528,1144
153,Lužce,00509736,116
154,Malá Víska,00509744,92
155,Málkov,00509752,104
156,Měňany,00233579,303
157,Mezouň,00233587,526
158,Mořina,00233595,779
159,Mořinka,00509761,125
160,Nenačovice,00509779,245
161,Nesvačily,00509787,140
162,Neumětely,00233633,557
163,Nižbor,00233641,1859
164,Nový Jáchymov,00233650,679
165,Olešná,00233676,410
166,Osek,00233684,768
167,Osov,00233692,346
168,Otmíče,00509795,164
169,Otročiněves,00233714,498
170,Podbrdy,00509809,197
171,Podluhy,00233731,642
172,Praskolesy,00233749,874
173,Rpety,00233765,474
174,Skřipel,00509817,111
175,Skuhrov,00233790,433
176,Srbsko,00233803,484
177,Stašov,00233811,418
178,Suchomasty,00233838,445
179,Svatá,00233846,416
180,Svatý Jan pod Skalou,00509825,157
181,Svinaře,00233862,540
182,Tetín,00233889,837
183,Tlustice,00233897,1020
184,Tmaň,00233901,1051
185,Točník,00509833,237
186,Trubín,00509841,321
187,Trubská,00233935,161
188,Újezd,00233951,610
189,Velký Chlumec,00509850,365
190,Vinařice,00509868,95
191,Vižina,00509876,229
192,Vráž,00233994,1027
193,Všeradice,00234001,439
194,Vysoký Újezd,00234010,632
195,Zadní Třebaň,00234028,739
196,Zaječov,00234044,1400
197,Záluží,00234052,476
198,Zdice,00234061,4055
199,Žebrák,00234079,2163
200,Železná,00875121,256
201,Běleč,00640263,325
202,Běloky,00234125,162
203,Beřovice,00234133,339
204,Bílichov,00640450,184
205,Blevice,00234150,281
206,Brandýsek,00234168,1790
207,Braškov,00234176,1012
208,Bratronice,00234192,881
209,Buštěhrad,00234214,2859
210,Cvrčovice,00234231,690
211,Černuc,00234257,993
212,Doksy,00234273,1360
213,Dolany,00663981,268
214,Drnek,00663972,169
215,Družec,00234320,1001
216,Dřetovice,00234338,486
217,Dřínov,00234346,330
218,Hobšovice,00663948,363
219,Horní Bezděkov,00234362,608
220,Hořešovice,00234371,257
221,Hořešovičky,00640441,148
222,Hospozín,00234389,548
223,Hostouň,00234397,1007
224,Hradečno,00234401,494
225,Hrdlív,00234419,478
226,Hřebeč,00234427,1705
227,Chržín,00234443,252
228,Jarpice,00234451,277
229,Jedomělice,00234460,373
230,Jemníky,00234478,263
231,Kačice,00234494,1314
232,Kamenné Žehrovice,00234508,1733
233,Kamenný Most,00663956,415
234,Kladno,00234516,69178
235,Klobuky,00234524,1051
236,Kmetiněves,00234532,284
237,Knovíz,00234541,541
238,Koleč,00234559,597
239,Královice,00640433,148
240,Kutrovice,00640506,111
241,Kvílice,00234575,85
242,Kyšice,00234583,606
243,Lány,00243981,1920
244,Ledce,00234591,486
245,Lhota,00663964,608
246,Libochovičky,00640522,54
247,Libovice,00640549,351
248,Libušín,00234630,2922
249,Lidice,00234648,445
250,Líský,00640514,78
251,Loucká,00640425,140
252,Makotřasy,00234681,376
253,Malé Kyšice,00640557,374
254,Malé Přítočno,00663999,249
255,Malíkovice,00234711,380
256,Neprobylice,00640492,156
257,Neuměřice,00234729,418
258,Otvovice,00234745,786
259,Páleč,00640565,206
260,Pavlov,00234770,133
261,Pchery,00234788,1892
262,Pletený Újezd,00234796,478
263,Plchov,00640573,192
264,Podlešín,00234818,311
265,Poštovice,00640484,227
266,Pozdeň,00234826,497
267,Přelíc,00234834,372
268,Řisuty,00234851,311
269,Sazená,00234869,323
270,Slaný,00234877,15306
271,Slatina,00234885,449
272,Smečno,00234893,1920
273,Stehelčeves,00234915,720
274,Stochov,00234923,5622
275,Stradonice,00875503,119
