"zadavatel","datum","cena"
"Praha","2010-05-28",330000
"Praha","2010-05-17",2222400
"Praha","2009-11-20",544620
"Praha","2010-07-09",1679965
"Praha","2009-07-29",2698872
"Praha","2011-08-26",1884900
"Praha","2010-07-14",975798
"Praha","2010-02-09",780001
"Praha","2009-10-19",1309000
"Praha","2009-10-14",5897660
"Praha","2010-02-05",987000
"Praha","2008-02-26",1670000
"Praha","2010-12-06",1212031
"Praha","2011-02-22",1976980
"Praha","2010-07-23",2941914
"Praha","2010-10-21",1127250
"Praha","2010-03-10",1500000
"Praha","2009-08-24",1993250
"Praha","2009-12-03",1666560
"Praha","2009-08-12",5920661
"Praha","2010-01-18",553125
"Praha","2011-06-27",4595726
"Praha","2010-06-16",5948099
"Praha","2010-03-31",2901660
"Praha","2009-06-29",2201500
"Praha","2010-07-22",2340000
"Praha","2009-06-15",818720
"Praha","2009-08-24",930000
"Praha","2010-11-01",249550
"Praha","2010-03-05",5613164
"Praha","2011-05-20",42253
"Praha","2009-10-07",1398635
"Praha","2009-11-05",2361870
"Praha","2009-04-24",1896200
"Praha","2007-01-29",74539421
"Praha","2011-03-17",2262000
"Praha","2009-05-20",1800000
"Praha","2010-12-17",2328000
"Praha","2010-06-16",1490000
"Praha","2010-07-27",1333002
"Praha","2010-04-12",49000
"Praha","2010-11-09",1254795
"Praha","2010-09-22",1547135
"Praha","2009-04-06",1214750
"Praha","2010-03-08",2385600
"Praha","2011-01-03",553495
"Praha","2010-08-27",3811367
"Praha","2010-05-04",1750490
"Praha","2010-04-22",638400
"Praha","2010-07-22",2399760
"Praha","2011-09-23",1209784
"Praha","2011-06-02",760000
"Praha","2010-03-08",1100000
"Praha","2013-10-29",2976695
"Praha","2010-03-01",1999535
"Praha","2011-08-23",700000
"Praha","2009-11-18",2059275
"Praha","2010-05-31",1400000
"Praha","2007-10-05",16470428
"Praha","2009-09-14",4581694
"Praha","2010-06-30",6527271
"Praha","2010-06-04",2316000
"Praha","2009-11-09",5870190
"Praha","2009-09-10",1131944
"Praha","2009-11-09",1468571
"Praha","2011-07-26",602610
"Praha","2010-08-05",1844800
"Praha","2009-08-12",645408
"Praha","2010-01-05",627500
"Praha","2011-04-18",803000
"Praha","2009-05-28",2487500
"Praha","2010-05-31",2274240
"Praha","2009-10-12",1774000
"Praha","2010-07-14",1815000
"Praha","2008-07-29",5696569
"Praha","2009-11-03",1186430
"Praha","2009-04-07",1310056
"Praha","2009-04-01",1152000
"Praha","2010-02-10",3227325
"Praha","2009-10-01",1483781
"Praha","2009-07-23",128000
"Praha","2009-09-01",2296700
"Praha","2011-05-20",48849
"Praha","2009-10-16",5379855
"Praha","2009-10-21",661568
"Praha","2011-06-09",1575000
"Praha","2010-06-01",1215300
"Praha","2009-10-07",6795337
"Praha","2011-02-03",620175
"Praha","2010-06-18",1789200
"Praha","2010-11-01",583860
"Praha","2010-07-27",1040685
"Praha","2010-09-01",25000
"Praha","2010-08-18",1460000
"Praha","2010-06-04",1274460
"Praha","2009-09-01",2647402
"Praha","2009-11-02",2368
"Praha","2013-11-15",5748000
"Praha","2010-04-02",1990000
"Praha","2008-11-28",1974800
"Praha","2010-10-08",11260000
"Praha","2010-06-18",1646695
"Praha","2010-09-13",2244000
"Praha","2009-11-25",1500000
"Praha","2009-05-04",791700
"Praha","2009-11-04",485220
"Praha","2009-11-23",5682535
"Praha","2010-02-08",1906850
"Praha","2010-09-08",682500
"Praha","2007-11-12",5950000
"Praha","2010-10-15",3098212
"Praha","2010-07-26",1811310
"Praha","2010-04-01",910000
"Praha","2009-10-29",1173447
"Praha","2010-09-02",5899856
"Praha","2010-08-03",5712690
"Praha","2009-10-27",2367164
"Praha","2010-04-30",950000
"Praha","2011-05-19",44126
"Praha","2009-03-30",2313360
"Praha","2011-04-01",721820
"Praha","2010-09-14",1894150
"Praha","2010-10-04",798000
"Praha","2009-07-13",4860600
"Praha","2010-08-05",1380370
"Praha","2010-05-17",1850000
"Praha","2009-10-01",1654100
"Praha","2009-06-08",2198988
"Praha","2010-09-06",1900598
"Praha","2008-02-01",8500000
"Praha","2010-01-12",639400
"Praha","2009-04-15",2011433
"Praha","2010-07-13",5774343
"Praha","2009-06-17",1796900
"Praha","2011-09-06",916800
"Praha","2009-03-26",2142000
"Praha","2009-07-29",507883
"Praha","2007-07-03",1255000
"Praha","2011-08-11",2302800
"Praha","2009-09-01",2082500
"Praha","2010-10-04",3660000
"Praha","2008-07-11",3916321
"Praha","2009-03-26",2213400
"Praha","2009-05-27",5881979
"Praha","2009-07-01",1840930
"Praha","2006-10-16",2580000
"Praha","2011-07-18",1740000
"Praha","2009-12-14",1178100
"Praha","2011-02-25",726000
"Praha","2010-09-14",1163680
"Praha","2009-09-29",2329679
"Praha","2010-06-29",3119503
"Praha","2011-09-21",6859796
"Praha","2011-06-17",2902750
"Praha","2010-10-15",14363700
"Praha","2009-07-10",2424375
"Praha","2009-05-26",1449000
"Praha","2010-01-19",828300
"Praha","2010-05-14",2577418
"Praha","2006-07-25",473200
"Praha","2009-09-11",545591
"Praha","2009-12-02",1966947
"Praha","2010-09-13",1000000
"Praha","2010-05-21",1595454
"Praha","2009-08-05",2201500
"Praha","2009-10-21",2313360
"Praha","2010-09-22",1825000
"Praha","2010-05-05",1949000
"Praha","2010-06-11",1380370
"Praha","2010-06-01",1280000
"Praha","2009-05-15",2356200
"Praha","2010-09-17",4536176
"Praha","2010-04-29",3000000
"Praha","2011-10-03",707000
"Praha","2008-02-15",4780000
"Praha","2010-08-30",1000000
"Praha","2010-04-20",1655000
"Praha","2011-04-06",5973384
"Praha","2010-03-03",810057
"Praha","2009-10-12",927383
"Praha","2009-11-24",5890332
"Praha","2011-04-29",978360
"Praha","2011-06-08",714500
"Praha","2010-03-01",1987300
"Praha","2010-04-08",1716000
"Praha","2010-06-07",948000
"Praha","2010-08-04",1485711
"Praha","2010-08-12",1896000
"Praha","2010-04-12",595920
"Praha","2010-09-14",779000
"Praha","2009-06-09",3533030
"Praha","2009-12-16",1925423
"Praha","2010-05-25",605000
"Praha","2009-09-14",2277485
"Praha","2010-10-01",15115000
"Praha","2009-11-16",5581751
"Praha","2009-09-30",1800000
"Praha","2010-09-15",5799041
"Praha","2009-10-13",1803370
"Praha","2009-06-03",6521443
"Praha","2011-04-08",4193134
"Praha","2011-08-04",444015
"Praha","2010-09-10",1228800
"Praha","2009-11-18",804620
"Praha","2009-05-29",285000
"Praha","2009-09-22",1059100
"Praha","2009-08-26",1560000
"Praha","2009-11-24",6902177
"Praha","2009-04-15",749700
"Praha","2010-01-19",1200000
"Praha","2010-12-06",754800
"Praha","2010-12-01",807640
"Praha","2010-05-17",1382400
"Praha","2010-05-25",950000
"Praha","2009-11-27",6896006
"Praha","2010-12-06",3940000
"Praha","2010-07-15",1920000
"Praha","2009-09-01",929390
"Praha","2009-11-09",2189600
"Praha","2010-12-23",1610900
"Praha","2010-06-11",600
"Praha","2009-07-20",1663497
"Praha","2008-04-28",3720731
"Praha","2010-01-11",1959600
"Praha","2010-12-03",899150
"Praha","2009-09-22",2256716
"Praha","2009-03-25",944655
"Praha","2007-12-18",4925000
"Praha","2006-07-18",69154759
"Praha","2010-11-09",1200000
"Praha","2009-07-10",3624526
"Praha","2009-04-03",1778000
"Praha","2010-02-08",5021208
"Praha","2010-03-29",804000
"Praha","2011-12-27",587926
"Praha","2010-05-07",5315116
"Praha","2009-10-12",5700728
"Praha","2010-06-03",4725942
"Praha","2010-07-21",1296794
"Praha","2009-04-08",6515937
"Praha","2010-06-21",1450000
"Praha","2010-03-02",1968340
"Praha","2010-09-07",2327184
"Praha","2008-08-15",3655984
"Praha","2009-11-03",2131290
"Praha","2009-10-14",5800367
"Praha","2011-07-08",25600000
"Praha","2007-10-12",19996419
"Praha","2010-10-04",5883257
"Praha","2009-09-30",1777760
"Praha","2009-08-13",1946505
"Praha","2009-10-19",4260000
"Praha","2010-09-23",1356000
"Praha","2011-01-31",2049600
"Praha","2011-01-31",648000
"Praha","2009-05-20",1901620
"Praha","2007-07-03",1404949
"Praha","2011-07-18",5257036
"Praha","2010-06-30",2208000
"Praha","2009-03-24",1290000
"Praha","2010-10-26",1741700
"Praha","2009-04-30",374810249
"Praha","2009-03-26",1813560
"Praha","2008-03-13",19977663
"Praha","2010-04-09",828000
"Praha","2010-04-13",1182900
"Praha","2010-10-26",2196000
"Praha","2006-09-11",3520000
"Praha","2011-05-30",1947000
"Praha","2007-03-30",64444400
"Praha","2012-05-30",3648800
"Praha","2009-12-07",936000
"Praha","2010-05-14",932800
"Praha","2009-11-10",5697601
"Praha","2010-03-15",1350000
"Praha","2010-03-08",17950000
"Praha","2010-01-04",1140000
"Praha","2010-11-12",1950000
"Praha","2011-05-31",798650
"Praha","2010-03-17",1366203
"Praha","2011-07-29",425132
"Praha","2011-06-27",5764519
"Praha","2009-05-14",2225300
"Praha","2010-08-04",2268000
"Praha","2011-07-22",555000
"Praha","2009-11-24",5979544
"Praha","2010-07-29",2360160
"Praha","2009-09-11",4237000
"Praha","2011-07-22",14598483
"Praha","2010-04-28",1215172
"Praha","2010-05-13",992952
"Praha","2009-08-19",1030000
"Praha","2010-09-20",572944
"Praha","2011-12-27",4750000
"Praha","2010-06-02",639576
"Praha","2009-06-19",840605
"Praha","2009-08-18",1950000
"Praha","2010-06-04",978000
"Praha","2010-05-07",901497
"Praha","2010-08-31",5759346
"Praha","2010-09-30",2951493
"Praha","2011-07-21",537000
"Praha","2007-11-12",39872380
"Praha","2009-12-17",800000
"Praha","2009-11-12",5925027
"Praha","2011-05-20",45591
"Praha","2009-06-15",1029350
"Praha","2011-07-01",7201
"Praha","2010-02-15",1200000
"Praha","2010-05-24",2964428
"Praha","2009-06-05",1856248
"Praha","2010-05-04",1588840
"Praha","2009-10-02",5561880
"Praha","2010-05-31",2274000
"Praha","2008-05-16",3500000
"Praha","2009-09-18",1964800
"Praha","2008-08-29",4950000
"Praha","2011-06-03",972480
"Praha","2009-12-07",1973942
"Praha","2010-06-08",2076000
"Praha","2010-11-26",16629529
"Praha","2009-06-15",1292083
"Praha","2009-09-01",3945810
"Praha","2010-11-18",1999999
"Praha","2009-11-02",5861381
"Praha","2010-11-16",2340000
"Praha","2010-11-26",2155200
"Praha","2009-05-06",1843358
"Praha","2010-10-04",4854994
"Praha","2010-05-14",1034409
"Praha","2010-07-26",1812480
"Praha","2009-10-26",2060115
"Praha","2009-09-15",1880000
"Praha","2011-07-11",1083000
"Praha","2009-07-03",2142000
"Praha","2010-03-01",864000
"Praha","2009-12-04",2209019
"Praha","2009-08-31",2000000
"Praha","2010-06-09",1559426
"Praha","2013-11-01",995390
"Praha","2009-05-13",1569000
"Praha","2009-12-09",3902873
"Praha","2009-09-01",1076355
"Praha","2009-06-08",5896531
"Praha","2010-04-08",1990000
"Praha","2010-06-02",89500
"Praha","2010-04-29",975197
"Praha","2009-08-06",2284836
"Praha","2009-04-06",2249100
"Praha","2009-05-22",2201500
"Praha","2011-09-20",1140000
"Praha","2009-12-16",454000
"Praha","2009-09-01",2243150
"Praha","2010-09-13",5899675
"Praha","2009-11-02",7078630
"Praha","2009-08-13",1940890
"Praha","2009-11-16",18546384
"Praha","2010-12-16",1952277
"Praha","2009-05-22",1487500
"Praha","2007-01-30",1275092
"Praha","2010-02-11",1877320
"Praha","2010-04-26",1725000
"Praha","2011-04-12",90000
"Praha","2010-07-28",1950000
"Praha","2011-06-08",936399
"Praha","2009-06-03",7641797
"Praha","2007-08-29",6038640
"Praha","2009-09-30",1844500
"Praha","2011-06-28",5296488
"Praha","2009-08-14",16422
"Praha","2010-04-21",25
"Praha","2011-07-21",690000
"Praha","2010-01-25",4999999
"Praha","2011-07-01",4525123
"Praha","2010-06-18",2028000
"Praha","2009-08-18",595000
"Praha","2009-03-23",1342000
"Praha","2010-06-25",2280000
"Praha","2009-01-19",82700663
"Praha","2011-09-30",1335000
"Praha","2010-07-22",2398000
"Praha","2010-08-13",5920148
"Praha","2007-02-19",3350000
"Praha","2009-05-28",1692000
"Praha","2010-01-11",811900
"Praha","2010-09-15",800000
"Praha","2009-10-22",1679750
"Praha","2011-09-26",1330000
"Praha","2009-10-22",987700
"Praha","2009-11-06",1904000
"Praha","2011-01-04",969409
"Praha","2009-11-30",1689800
"Praha","2009-12-04",5976544
"Praha","2009-11-16",5529986
"Praha","2010-05-17",1920558
"Praha","2010-04-13",957020
"Praha","2010-12-22",1787882
"Praha","2010-01-15",648134
"Praha","2009-06-24",978703
"Praha","2009-11-13",3998315
"Praha","2010-01-14",1500000
"Praha","2009-12-11",2339540
"Praha","2009-08-06",5524090
"Praha","2009-08-19",950000
"Praha","2009-10-12",1840000
"Praha","2011-06-20",4665675
"Praha","2009-08-24",1825463
"Praha","2009-11-01",1630000
"Praha","2009-09-29",2288684
"Praha","2010-11-01",1788000
"Praha","2009-05-25",2272900
"Praha","2009-10-06",1255900
"Praha","2009-07-27",199800
"Praha","2009-12-10",833000
"Praha","2010-05-06",1950000
"Praha","2009-10-23",1570800
"Praha","2011-02-28",1492000
"Praha","2011-08-11",6641460
"Praha","2010-05-05",777000
"Praha","2009-09-08",1939700
"Praha","2010-05-07",583300
"Praha","2009-05-13",1950000
"Praha","2010-11-23",378500
"Praha","2009-04-22",706860
"Praha","2008-11-03",18984068
"Praha","2009-09-14",554525
"Praha","2010-06-18",1459500
"Praha","2010-03-08",1876202
"Praha","2009-11-26",5541214
"Praha","2010-05-04",654680
"Praha","2010-09-14",1660000
"Praha","2010-09-09",2232000
"Praha","2009-05-15",1820000
"Praha","2011-03-07",1785000
"Praha","2010-07-28",1947840
"Praha","2009-06-19",2894884
"Praha","2010-03-30",813120
"Praha","2010-06-14",1490146
"Praha","2010-09-20",1973400
"Praha","2010-05-12",1532000
"Praha","2013-11-25",3130686
"Praha","2009-04-01",1904000
"Praha","2009-11-23",5779894
"Praha","2010-02-23",704586
"Praha","2011-06-23",1990000
"Praha","2009-07-02",1770720
"Praha","2009-11-10",641760
"Praha","2009-05-26",1523200
"Praha","2009-11-06",1880000
"Praha","2011-05-10",1615674
"Praha","2011-06-07",1016749
"Praha","2010-04-09",1900000
"Praha","2009-07-22",1195475
"Praha","2010-11-11",1400000
"Praha","2009-04-15",872000
"Praha","2011-03-22",1308259
"Praha","2010-10-04",786240
"Praha","2010-06-15",936361
"Praha","2010-09-21",3313626
"Praha","2009-10-23",1159000
"Praha","2007-10-22",1297994
"Praha","2009-07-01",485400
"Praha","2011-07-01",4563691
"Praha","2009-11-16",1011283
"Praha","2009-06-08",3804304
"Praha","2009-09-01",1796900
"Praha","2009-12-10",1699320
"Praha","2009-11-19",1484075
"Praha","2010-07-19",5792126
"Praha","2009-07-31",1950000
"Praha","2010-01-08",131250
"Praha","2009-12-10",2142000
"Praha","2012-09-13",13896000
"Praha","2009-12-10",1820000
"Praha","2011-03-04",3795520
"Praha","2007-10-22",99850000
"Praha","2010-07-21",5812527
"Praha","2010-06-16",2274000
"Praha","2007-12-18",2670401
"Praha","2009-11-06",1306745
"Praha","2008-05-02",4984866
"Praha","2009-06-18",1398207
"Praha","2011-03-28",1295000
"Praha","2009-11-11",7020811
"Praha","2010-08-20",1450000
"Praha","2010-05-10",1848168
"Praha","2009-04-07",702100
"Praha","2009-03-26",1998206
"Praha","2012-11-02",9390000
"Praha","2009-07-17",3382221
"Praha","2010-02-15",680
"Praha","2009-06-01",5895874
"Praha","2012-02-22",4680000
"Praha","2009-09-04",6466666
"Praha","2011-04-11",6633333
"Praha","2009-09-04",6466666
"Praha","2009-04-09",1280000
"Praha","2011-02-10",280992
"Praha","2010-12-22",2319252
"Praha","2009-08-18",1807000
"Praha","2010-08-13",2329652
"Praha","2009-07-24",91000
"Praha","2010-11-12",2338800
"Praha","2009-05-26",2278307
"Praha","2009-11-24",5817517
"Praha","2011-06-24",3150000
"Praha","2009-05-22",2827916
"Praha","2010-07-20",1577492
"Praha","2009-10-21",1449280
"Praha","2009-03-20",2308600
"Praha","2010-09-14",5757456
"Praha","2010-09-07",3699540
"Praha","2010-09-15",4074632
"Praha","2010-05-17",1450000
"Praha","2009-05-07",4462500
"Praha","2009-08-25",1899240
"Praha","2010-09-07",986000
"Praha","2013-12-02",20811268
"Praha","2011-04-20",2151792
"Praha","2010-07-07",3333625
"Praha","2009-07-24",53500
"Praha","2014-02-26",1950000
"Praha","2010-09-24",4706871
"Praha","2010-11-01",1354080
"Praha","2011-08-11",5999940
"Praha","2010-03-25",2082720
"Praha","2009-02-02",5690000
"Praha","2009-10-14",10043600
"Praha","2011-09-01",300
"Praha","2009-11-12",996030
"Praha","2010-05-05",925000
"Praha","2011-09-30",1156570
"Praha","2012-07-19",3821511
"Praha","2009-03-30",2313360
"Praha","2010-08-24",813000
"Praha","2007-11-02",19800552
"Praha","2009-10-08",495000
"Praha","2010-05-20",1645000
"Praha","2008-09-05",1890000
"Praha","2009-10-28",2327818
"Praha","2011-06-03",2890080
"Praha","2011-06-14",978000
"Praha","2011-02-02",11384690
"Praha","2009-12-16",780000
"Praha","2010-01-19",1200000
"Praha","2009-11-05",780001
"Praha","2010-03-16",1141600
"Praha","2010-03-31",2500
"Praha","2010-06-16",1788000
"Praha","2010-06-07",935000
"Praha","2010-10-05",1269996
"Praha","2011-06-27",2698006
"Praha","2009-12-09",1285200
"Praha","2011-07-26",4506263
"Praha","2009-05-28",630605
"Praha","2007-03-02",17000000
"Praha","2009-07-31",1923480
"Praha","2010-09-13",538600000
"Praha","2009-03-23",6030000
"Praha","2011-01-03",1380000
"Praha","2010-09-14",5983544
"Praha","2009-07-23",2166157
"Praha","2010-05-11",484380
"Praha","2009-04-28",1508158
"Praha","2010-06-08",1387500
"Praha","2009-11-26",1159060
"Praha","2010-06-25",390000
"Praha","2010-01-12",1130
"Praha","2013-12-23",600000
"Praha","2009-08-13",2368776
"Praha","2010-06-03",1245000
"Praha","2011-07-25",3955723
"Praha","2010-03-22",527028
"Praha","2010-11-23",2035456
"Praha","2010-09-22",2374350
"Praha","2011-07-18",912450
"Praha","2010-04-16",1598800
"Praha","2009-06-09",1725500
"Praha","2009-09-22",1890910
"Praha","2011-07-15",2523123
"Praha","2010-01-07",2153424
"Praha","2009-03-25",1895000
"Praha","2009-04-09",490732
"Praha","2009-11-24",1309000
"Praha","2010-05-25",5502053
"Praha","2010-06-30",1950000
"Praha","2009-11-19",1846900
"Praha","2010-08-20",5852138
"Praha","2009-10-19",5695037
"Praha","2011-06-01",720000
"Praha","2011-08-18",5695000
"Praha","2009-04-15",2249100
"Praha","2013-10-03",5777902
"Praha","2010-06-02",580000
"Praha","2009-05-21",1590000
"Praha","2009-07-22",346000
"Praha","2009-12-01",3391586
"Praha","2007-09-27",5787360
"Praha","2011-01-31",2160000
"Praha","2010-04-27",1152489
"Praha","2008-06-27",2912000
"Praha","2009-06-10",2356200
"Praha","2008-04-18",19068100
"Praha","2009-02-13",111600
"Praha","2009-06-02",5317106
"Praha","2010-03-01",773500
"Praha","2010-12-13",1153000
"Praha","2010-11-02",1945406
"Praha","2009-06-19",990000
"Praha","2010-11-18",1999999
"Praha","2011-12-12",9999149
"Praha","2009-04-06",2284800
"Praha","2009-08-10",2710747
"Praha","2009-06-12",1036920
"Praha","2010-10-14",1940533
"Praha","2010-01-19",740000
"Praha","2010-05-07",5964129
"Praha","2009-06-17",1124160
"Praha","2010-06-25",2060176
"Praha","2007-12-14",617142
"Praha","2010-07-14",2990000
"Praha","2010-01-29",943800
"Praha","2007-12-03",2240668
"Praha","2009-09-25",158133
"Praha","2010-06-08",1905600
"Praha","2010-01-08",9056000
"Praha","2010-02-03",1209120
"Praha","2009-11-05",1881840
"Praha","2007-05-14",7563289
"Praha","2007-07-10",6195461
"Praha","2010-07-14",5849356
"Praha","2010-11-03",2000000
"Praha","2009-11-01",1680000
"Praha","2014-12-16",86572800
"Praha","2009-06-30",880000
"Praha","2010-09-06",5770053
"Praha","2009-05-28",4025326
"Praha","2011-05-23",333093
"Praha","2010-05-10",4914799
"Praha","2009-03-18",1800000
"Praha","2010-12-20",1466317
"Praha","2009-09-29",1058000
"Praha","2009-11-05",2452095
"Praha","2010-01-15",1290043
"Praha","2010-03-23",1772900
"Praha","2010-05-05",527986
"Praha","2009-10-14",1750285
"Praha","2009-10-26",2586330
"Praha","2009-10-21",2307359
"Praha","2009-09-17",891602
"Praha","2009-01-02",5000000
"Praha","2009-01-19",117731092
"Praha","2010-09-20",5895917
"Praha","2009-12-02",2016272
"Praha","2010-03-22",813073
"Praha","2010-09-20",572943
"Praha","2009-11-10",62
"Praha","2011-05-03",4216004
"Praha","2009-11-03",511771
"Praha","2011-07-27",1619670
"Praha","2009-10-14",1414730
"Praha","2010-07-02",135690
"Praha","2010-11-03",1750000
"Praha","2010-05-06",1500000
"Praha","2010-04-23",1759950
"Praha","2008-02-11",135600000
"Praha","2009-09-30",1987300
"Praha","2010-07-07",3129807
"Praha","2009-10-20",487400
"Praha","2011-09-26",1820840
"Praha","2010-07-07",3761009
"Praha","2011-04-04",2311200
"Praha","2011-02-11",2093220
"Praha","2010-09-10",18739298
"Praha","2006-11-14",7060000
"Praha","2010-02-24",1140000
"Praha","2008-07-11",59862400
"Praha","2012-07-18",4288006
"Praha","2009-10-23",2101362
"Praha","2010-05-06",2490359
"Praha","2009-07-23",65500
"Praha","2009-11-10",798252
"Praha","2010-01-20",1706032
"Praha","2009-10-23",1530816
"Praha","2010-06-11",991298
"Praha","2008-12-19",10531560
"Praha","2011-06-23",812000
"Praha","2010-09-06",1899500
"Praha","2009-08-17",1695200
"Praha","2011-08-22",1756560
"Praha","2007-02-16",260300
"Praha","2009-07-24",40440296
"Praha","2009-10-26",1117707
"Praha","2011-06-10",2398632
"Praha","2009-06-24",167000
"Praha","2009-12-10",1980000
"Praha","2009-11-09",916300
"Praha","2009-09-23",3655589
"Praha","2009-10-02",5746000
"Praha","2010-08-20",825000
"Praha","2010-05-06",445000
"Praha","2007-06-08",5490000
"Praha","2009-05-15",1898050
"Praha","2006-11-20",450000
"Praha","2011-06-16",2847850
"Praha","2011-06-28",3234576
"Praha","2009-06-08",2894900
"Praha","2010-08-09",1740000
"Praha","2009-11-12",5644407
"Praha","2010-04-08",5789473
"Praha","2009-05-06",4254708
"Praha","2007-06-26",5900000
"Praha","2010-09-20",2387790
"Praha","2009-04-27",1338750
"Praha","2009-08-10",789803
"Praha","2010-03-04",1830000
"Praha","2009-06-18",1780000
"Praha","2009-10-26",6294128
"Praha","2010-08-31",5710818
"Praha","2009-04-21",2605672
"Praha","2009-09-25",2498489
"Praha","2010-09-13",2539900
"Praha","2009-08-28",5782372
"Praha","2009-06-23",1674721
"Praha","2011-09-08",2840000
"Praha","2010-06-03",4678616
"Praha","2011-06-23",2191595
"Praha","2008-04-29",16898560
"Praha","2009-07-29",2249100
"Praha","2010-11-04",585000
"Praha","2013-11-19",5656576
"Praha","2009-05-26",1356600
"Praha","2011-01-25",2100000
"Praha","2009-11-30",4074996
"Praha","2010-08-13",1290000
"Praha","2011-06-30",992000
"Praha","2009-05-15",1606500
"Praha","2011-04-01",1500000
"Praha","2009-06-29",5816184
"Praha","2009-03-24",520000
"Praha","2010-08-30",5692884
"Praha","2009-04-30",1398250
"Praha","2011-08-30",1312500
"Praha","2014-04-09",47570521
"Praha","2010-05-10",1050000
"Praha","2007-12-21",14903377
"Praha","2010-10-07",2038859
"Praha","2009-10-22",2347156
"Praha","2009-12-21",1344196
"Praha","2009-10-26",1451520
"Praha","2009-04-09",2284800
"Praha","2008-07-18",5724800
"Praha","2009-06-23",540124
"Praha","2010-09-14",918000
"Praha","2009-11-24",1920000
"Praha","2010-08-31",3365238
"Praha","2010-05-18",1300000
"Praha","2010-02-22",4560000
"Praha","2011-11-10",30889728
"Praha","2009-10-20",990000
"Praha","2010-06-07",655746
"Praha","2009-11-06",5725181
"Praha","2011-07-22",1913453
"Praha","2011-08-11",2137711
"Praha","2010-04-08",2821601
"Praha","2012-11-01",2599650
"Praha","2010-12-20",2270400
"Praha","2009-08-24",2189600
"Praha","2011-08-11",2244000
"Praha","2011-06-15",672550
"Praha","2009-07-24",1994706
"Praha","2010-02-05",5650000
"Praha","2009-05-18",3158793
"Praha","2009-08-28",915000
"Praha","2007-06-26",5470000
"Praha","2014-07-25",27626632
"Praha","2010-12-23",19160000
"Praha","2010-03-12",1965480
"Praha","2010-08-31",105600
"Praha","2009-10-07",1373100
"Praha","2009-08-24",1211988
"Praha","2009-09-18",629500
"Praha","2011-03-15",51348048
"Praha","2011-01-04",1500000
"Praha","2009-11-20",5985403
"Praha","2009-07-10",1836316
"Praha","2010-03-12",1846000
"Praha","2006-07-25",28829534
"Praha","2011-09-06",47114444
"Praha","2010-05-12",750000
"Praha","2013-10-17",2219650
"Praha","2013-04-10",628530
