"zadavatel","datum","cena"
"Praha","2010-12-17",1416666
"Praha","2008-06-03",13688366
"Praha","2010-01-05",975000
"Praha","2009-04-01",1149984
"Praha","2011-07-25",5473518
"Praha","2009-08-24",2372285
"Praha","2009-10-19",1445850
"Praha","2010-12-06",2148000
"Praha","2007-02-02",2158621
"Praha","2009-08-19",521131
"Praha","2006-12-18",28892590
"Praha","2010-07-02",2615394
"Praha","2009-08-21",2237319
"Praha","2011-09-19",1601834
"Praha","2010-02-15",890000
"Praha","2009-07-29",4622428
"Praha","2011-05-30",1981898
"Praha","2010-09-09",1999998
"Praha","2010-09-08",1840000
"Praha","2009-11-02",2368
"Praha","2012-10-02",5360000
"Praha","2011-06-27",4578280
"Praha","2006-11-14",683300
"Praha","2009-09-23",1662623
"Praha","2009-10-01",1809990
"Praha","2010-06-25",1599800
"Praha","2010-03-08",5862365
"Praha","2010-04-20",1750000
"Praha","2007-03-26",5395426
"Praha","2010-06-23",4307667
"Praha","2009-04-07",1308357
"Praha","2010-09-13",2100000
"Praha","2009-07-13",4924774
"Praha","2009-08-13",2118200
"Praha","2009-09-16",2095823
"Praha","2010-07-21",1450000
"Praha","2010-03-26",1752700
"Praha","2009-07-28",120250
"Praha","2009-08-25",2142000
"Praha","2010-10-05",5693460
"Praha","2009-09-29",1822987
"Praha","2009-12-21",1618400
"Praha","2012-10-08",56199953
"Praha","2009-09-23",5798950
"Praha","2009-11-10",1843000
"Praha","2011-08-23",2453758
"Praha","2010-09-24",4706871
"Praha","2011-09-12",546000
"Praha","2009-08-17",2424000
"Praha","2009-11-27",713383
"Praha","2011-09-26",1658000
"Praha","2009-06-10",2217541
"Praha","2010-09-13",2244000
"Praha","2009-11-02",2042040
"Praha","2009-10-14",1920000
"Praha","2010-07-21",1734492
"Praha","2009-10-27",4894436
"Praha","2010-03-15",4574092
"Praha","2009-12-03",434600
"Praha","2010-12-03",2396974
"Praha","2009-11-23",6377525
"Praha","2010-11-12",875058
"Praha","2008-09-01",4100000
"Praha","2010-09-13",2887660
"Praha","2010-12-08",1423889
"Praha","2009-10-21",1987895
"Praha","2009-07-29",2484143
"Praha","2009-05-19",796873
"Praha","2009-12-01",1648000
"Praha","2009-08-04",1715439
"Praha","2009-04-15",1980000
"Praha","2010-04-19",2482300
"Praha","2010-03-22",2109808
"Praha","2007-05-21",23100000
"Praha","2011-08-31",1000000
"Praha","2007-09-25",3388072
"Praha","2009-04-23",2237200
"Praha","2008-04-18",47657552
"Praha","2009-11-23",482636
"Praha","2010-07-19",1900000
"Praha","2011-06-30",5564684
"Praha","2010-05-24",684840
"Praha","2010-06-28",979000
"Praha","2009-05-14",1950000
"Praha","2010-03-09",7032187
"Praha","2009-05-28",357000
"Praha","2009-11-19",2105294
"Praha","2009-07-23",85000
"Praha","2010-09-15",591840
"Praha","2010-06-23",3589439
"Praha","2009-06-29",1600000
"Praha","2009-11-12",1065050
"Praha","2010-03-01",2170440
"Praha","2009-06-11",1899240
