"","NAZOB","POCET_OBYVATEL_260311","pocetZakazek","objemZakazek","objemNaObyvatele"
"1","Benešov",16484,39,1122009655,68066.5891167192
"2","Prachatice",11420,60,614633045,53820.7570052539
"3","Mladá Boleslav",44778,75,1750119415,39084.3587252669
"4","Opava",58643,118,2263641419,38600.3686544004
"5","Plzeň",169688,381,6472744979,38144.9777179294
"6","Strakonice",23096,37,803861902,34805.2434187738
"7","Tábor",35198,86,1130589223,32120.8370646059
"8","Brno",384277,718,11942363997,31077.4883664648
"9","Kladno",69178,78,2117214436,30605.3143484923
"10","Pelhřimov",16339,38,477819472,29244.1074729176
"11","Hradec Králové",94242,224,2720384918,28865.950616498
"12","Jičín",16792,43,478961816,28523.2143878037
"13","Rokycany",14173,34,402111917,28371.6867988429
"14","Chomutov",49784,67,1406672781,28255.5194640848
"15","Znojmo",34097,79,953922469,27976.7272487316
"16","Jihlava",50760,147,1385862962,27302.2648148148
"17","Sokolov",24177,70,618136025,25567.1102700914
"18","Jeseník",11890,39,300249149,25252.2412952061
"19","Ostrava",302456,708,7188768241,23767.9802715106
"20","Domažlice",11055,40,252023742,22797.2629579376
"21","Uherské Hradiště",25597,51,553897095,21639.1411102864
"22","Česká Lípa",37510,100,804483767,21447.181205012
"23","Cheb",33446,88,712639481,21307.1662082162
"24","Havlíčkův Brod",23723,64,499976316,21075.5939805252
"25","Šumperk",27182,83,556671339,20479.4106026047
"26","Svitavy",17090,45,349128374,20428.8106495026
"27","Děčín",50620,101,995419844,19664.5563808771
"28","Karlovy Vary",53737,73,1053504876,19604.8323501498
"29","Tachov",12801,29,249615720,19499.7047105695
"30","Praha",1272690,1392,24684109829,19395.2257258248
"31","Klatovy",22567,52,436313051,19334.1184472903
"32","Olomouc",100043,148,1924296549,19234.6945713343
"33","Český Krumlov",13557,36,253871767,18726.2496865088
"34","Žďár nad Sázavou",22275,27,401671046,18032.3701907969
"35","Louny",18680,44,335243876,17946.6743040685
"36","Přerov",45438,78,813660818,17907.0561644439
"37","Teplice",50728,50,882972455,17406.0174854124
"38","České Budějovice",93883,204,1625966664,17319.0744224194
"39","Zlín",76010,184,1315068460,17301.2558873832
"40","Třebíč",37781,105,650742646,17224.0715174294
"41","Pardubice",91073,112,1564278197,17176.0916737123
"42","Jindřichův Hradec",22036,65,369513611,16768.6336449446
"43","Karviná",59627,78,985858480,16533.7595384641
"44","Chrudim",23369,79,377701242,16162.490564423
"45","Písek",29880,51,480730294,16088.6979250335
"46","Vyškov",21687,23,328990099,15169.9220270208
"47","Příbram",34022,68,494184305,14525.4336899653
"48","Bruntál",17030,30,234508974,13770.3449207281
"49","Mělník",19612,20,266944177,13611.2674383031
"50","Most",67030,185,903462557,13478.4806355363
"51","Náchod",20763,63,269798207,12994.1822954294
"52","Semily",8738,18,112555053,12881.1001373312
"53","Vsetín",27150,51,347598700,12802.8987108656
"54","Nymburk",14782,19,188272048,12736.5747530781
"55","Beroun",18741,25,238687500,12736.1133344005
"56","Kutná Hora",20839,39,260272405,12489.6782475167
"57","Frýdek-Místek",58193,125,690854824,11871.7856786899
"58","Rakovník",16731,28,190779127,11402.7330703485
"59","Nový Jičín",23909,69,266639295,11152.2562633318
"60","Liberec",102247,114,1125219402,11004.9136111573
"61","Prostějov",44526,72,482822277,10843.6032205902
"62","Kolín",31207,34,312954692,10028.3491524337
"63","Jablonec nad Nisou",45255,76,447019565,9877.7939454204
"64","Břeclav",25098,44,247238087,9850.90792094988
"65","Ústí nad Labem",95003,81,921747233,9702.29606433481
"66","Trutnov",31085,42,273439541,8796.51088949654
"67","Hodonín",25479,18,213494116,8379.21880764551
"68","Blansko",20852,23,148398659,7116.75901592173
"69","Litoměřice",24405,33,169702624,6953.60065560336
"70","Kroměříž",29076,20,198230933,6817.68238409685
"71","Ústí nad Orlicí",14662,31,93691958,6390.12126585732
"72","Rychnov nad Kněžnou",11392,17,58837402,5164.80003511236
