"","obec","nevolebni","volebni","rozdil"
"1","Ústí nad Labem",8320695.5,108996007,1309.93865837297
"2","Beroun",3301130,37869355.5,1147.16341071088
"3","Kolín",2294201.5,21150379.5,921.905922387375
"4","Karviná",5839553.5,52329746,896.125808248867
"5","Rokycany",5658333,30467573,538.454930100438
"6","Jičín",5500000,26424851.5,480.451845454545
"7","Šumperk",4967292,22630532,455.590933651575
"8","Jeseník",4890248,21704136,443.824853054487
"9","Frýdek-Místek",3290300,14126237.5,429.329772361183
"10","Trutnov",4310040,14770597.5,342.702097892363
"11","Uherské Hradiště",5478746,18386426.5,335.595526786604
"12","Tábor",13746178.5,45013085,327.458900668284
"13","Prachatice",7832385,23246757,296.803042751346
"14","Semily",3546611,10283111.5,289.94190510321
"15","Náchod",3404490,9866331,289.803494796577
"16","Chrudim",1978410,5541713.5,280.109456583822
"17","Rakovník",6346239,16986452,267.661712708897
"18","Svitavy",10894158,28545500,262.025757291201
"19","Tachov",4497399.5,11193826.5,248.895533963572
"20","Znojmo",9501000,22260244,234.293695400484
"21","Liberec",5650902,13049070,230.920125671972
"22","Mladá Boleslav",42320796.5,95708800.5,226.150754275147
"23","Kroměříž",5205250,11457657.5,220.117333461409
"24","Hodonín",15619498,30984248,198.369038492786
"25","Karlovy Vary",10203070,18680056,183.08269961884
"26","Pardubice",12832066,23255056.5,181.226129136181
"27","Vyškov",5630077,10086307,179.150427249929
"28","Přerov",8363642,14780126.5,176.718784711254
"29","České Budějovice",15871001.5,26689242,168.163565481359
"30","Most",10370004.5,17420526,167.989570303465
"31","Havlíčkův Brod",7595958.5,12193075,160.520558399575
"32","Blansko",5681092.5,8856814,155.8998379273
"33","Prostějov",10115720,14394712,142.300419545025
"34","Strakonice",12132530,16567677,136.555829657953
"35","Bruntál",5858427,7701389,131.458307835875
"36","Brno",120196713,151662735,126.178770795504
"37","Kladno",21638046,26395078,121.984572913839
"38","Žďár nad Sázavou",12896863.5,15486051,120.07610222439
"39","Vsetín",7950477.5,9367667,117.825212385042
"40","Mělník",8465893,9718861,114.800187056463
"41","Písek",9252401,10551907,114.04506786941
"42","Ostrava",92874943,101916903,109.735629124424
"43","Jablonec nad Nisou",8413064,8928134,106.122264135872
"44","Příbram",15097552,15455255,102.369278145225
"45","Opava",22045858,22344649,101.35531581488
"46","Pelhřimov",8409784,8318684,98.9167379328649
"47","Zlín",20636076,19617290,95.0630827294879
"48","Sokolov",10303490,9601522,93.1870851527007
"49","Domažlice",5598946,4999992,89.3023794121251
"50","Plzeň",47416166,42164224.5,88.9237322562098
"51","Děčín",3986982,3349180.5,84.0028999378477
"52","Benešov",7429783,6119732,82.3675738578098
"53","Břeclav",4902546,3946636.5,80.5017739762156
"54","Český Krumlov",5715267,4317615.5,75.5452982336608
"55","Kutná Hora",10796159,7954510,73.6790741966657
"56","Česká Lípa",3164200,2266739,71.6370330573289
"57","Ústí nad Orlicí",2360826.5,1658350,70.244467350735
"58","Jindřichův Hradec",8880718,6196359.5,69.7731816278819
"59","Olomouc",18141330,12318144.5,67.901000092055
"60","Praha",171946353,105513067,61.3639458814227
"61","Cheb",10562004,5686658.5,53.8407152657772
"62","Nymburk",13151495,6996800,53.2015561728914
"63","Hradec Králové",29959600,15052069.5,50.2412231805498
"64","Jihlava",11177208,5043669.5,45.1245919374499
"65","Louny",6362663,2857192,44.905600060855
"66","Třebíč",8495788,3690560.5,43.4398845639745
"67","Klatovy",13098364,5465399,41.7258140024204
"68","Chomutov",10239986,3579800,34.9590321705518
"69","Nový Jičín",5640607.5,1727312,30.622800824202
"70","Teplice",10906441,1398376,12.8215611307117
"71","Litoměřice",5071592,2457,0.0484463261240257
"72","Rychnov nad Kněžnou",3082886,NA,NA
